annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	A03	1.6551500715766354	0	2	372	129	4112.1494	170.57556
1	A03	1.656609598837815	0	5	410	138	4008.4167	179.23206
2	A03	1.76116681999152	0	9	341	197	4107.2617	171.55664
3	A03	1.572264331336905	0	11	404	145	3892.973	155.8667
4	A03	1.552971350993162	0	9	462	136	3868.0298	153.8031
5	A03	1.615792423113828	0	2	348	128	3904.9673	156.84766
6	A03	1.5988172036101571	0	11	468	176	4020.96	208.65906
7	A03	1.5465807809807244	0	11	451	142	3898.1038	163.49097
8	A03	1.5468754539780976	0	8	352	109	3937.9983	152.16016
