annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	A01		1	12	11	603	3571.913	127.71118
1	A01		1	20	7	627	3535.7656	126.48584
2	A01		1	10	11	465	3527.2886	123.34802
3	A01		1	16	7	542	3430.3655	115.10889
4	A01		1	13	5	593	3297.6782	113.76477
5	A01		1	9	7	558	3457.079	125.86951
6	A01		1	34	9	595	3476.1206	122.30713
7	A01		1	18	15	557	3407.187	125.42151
8	A01		1	25	10	692	3439.9688	120.280396
