annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	B10	1.0739131571090172	0	7	326	125	4005.7861	143.63489
1	B10	1.0758637203086434	0	7	297	97	3942.043	154.57764
2	B10	1.0761668177218937	0	13	403	152	4046.5132	145.13757
3	B10	1.078727149071608	0	18	381	102	3894.6604	139.60535
4	B10	1.072136904065319	0	15	379	145	3802.5676	133.6106
5	B10	1.069763692617537	0	15	369	101	3905.0583	152.05249
6	B10	1.0800957692149082	0	20	473	153	3959.4727	135.35669
7	B10	1.0768852850592268	0	16	488	122	3881.9678	141.4292
8	B10	1.0923257193684068	0	16	506	178	3921.1772	146.99341
