annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	G08	1.0393725600527703	0	6	285	101	3946.921	145.81274
1	G08	1.0586887035713664	0	11	436	142	3851.5745	157.09814
2	G08	1.0558249501219297	0	11	314	98	4000.1135	145.29626
3	G08	1.03924208563396	0	21	478	179	3851.518	157.21655
4	G08	1.028744219725652	0	17	424	133	3819.1885	156.10205
5	G08	1.0181155771461845	0	8	438	93	3873.2754	172.44897
6	G08		1	20	395	85	4044.504	182.86743
7	G08	1.0415058287929713	0	19	391	93	3828.174	149.94116
8	G08	1.0487178749606867	0	29	363	144	3811.6948	173.14453
