grid_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	B11	1.0420362895563005	0	12	255	99	3987.0505	144.12854
1	B11	1.0777813588820622	0	7	345	89	3851.295	139.3208
2	B11	1.055072031280313	0	21	392	170	3999.0947	189.24634
3	B11	1.0622023683015018	0	12	418	141	3807.4927	136.77979
4	B11	1.0796431810967067	0	12	417	103	3806.373	141.39185
5	B11	1.0739073600529239	0	5	350	153	4000.1572	146.66125
6	B11	1.0650597127730408	0	25	471	115	4010.4485	131.2439
7	B11	1.077082845544388	0	21	483	122	3908.1787	140.5647
8	B11	1.0737663048302901	0	18	567	174	3419.1226	70.06421
