annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
A01_0000	A01	nan	1	12	11	603	3571.913	127.71118
A01_0001	A01	nan	1	20	7	627	3535.7656	126.48584
A01_0002	A01	nan	1	10	11	465	3527.2886	123.34802
A01_0003	A01	nan	1	16	7	542	3430.3655	115.10889
A01_0004	A01	nan	1	13	5	593	3297.6782	113.76477
A01_0005	A01	nan	1	9	7	558	3457.079	125.86951
A01_0006	A01	nan	1	34	9	595	3476.1206	122.30713
A01_0007	A01	nan	1	18	15	557	3407.187	125.42151
A01_0008	A01	nan	1	25	10	692	3439.9688	120.280396
A02_0000	A02	1.0581971242058037	0	7	560	169	3797.0005	146.58948
A02_0001	A02	1.043509413794034	0	6	368	111	3719.544	131.86133
A02_0002	A02	1.0505249823098686	0	11	438	122	3780.9482	132.93799
A02_0003	A02	1.0601912945938605	0	8	408	109	3687.7375	131.56836
A02_0004	A02	1.0492052515456336	0	14	454	135	3653.7842	143.27222
A02_0005	A02	1.0468040570307846	0	9	388	123	3674.1145	124.909424
A02_0006	A02	1.0406312050855264	0	15	377	168	3822.4424	147.78528
A02_0007	A02	1.0549579720473785	0	15	455	131	3689.959	127.07324
A02_0008	A02	nan	1	10	297	27	3834.5042	202.38062
A03_0000	A03	1.6551500715766354	0	2	372	129	4112.1494	170.57556
A03_0001	A03	1.656609598837815	0	5	410	138	4008.4167	179.23206
A03_0002	A03	1.76116681999152	0	9	341	197	4107.2617	171.55664
A03_0003	A03	1.572264331336905	0	11	404	145	3892.973	155.8667
A03_0004	A03	1.552971350993162	0	9	462	136	3868.0298	153.8031
A03_0005	A03	1.615792423113828	0	2	348	128	3904.9673	156.84766
A03_0006	A03	1.5988172036101573	0	11	468	176	4020.96	208.65906
A03_0007	A03	1.5465807809807244	0	11	451	142	3898.1038	163.49097
A03_0008	A03	1.5468754539780976	0	8	352	109	3937.9983	152.16016
A04_0000	A04	1.8124277018382655	0	5	359	98	4138.406	179.86487
A04_0001	A04	1.868209257216527	0	19	330	113	3993.4087	157.01611
A04_0002	A04	1.9161328816604986	0	7	448	148	4172.512	177.40869
A04_0003	A04	1.8265251564715717	0	11	450	132	3915.244	163.85815
A04_0004	A04	1.7524112406456371	0	13	481	186	4040.5903	220.65271
A04_0005	A04	1.7086163801770902	0	15	506	166	4049.1062	161.15149
A04_0006	A04	1.9361693409816971	0	8	362	110	4069.2827	166.4248
A04_0007	A04	1.7323479804890942	0	12	416	116	4063.3772	193.2937
A04_0008	A04	1.738197932635029	0	17	418	116	3986.1145	166.08655
A05_0000	A05	1.0491974106930098	0	14	402	143	3901.5486	135.85107
