grid_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	D09	1.0759093571856788	0	8	335	134	3970.2744	160.75415
1	D09	1.0835423663086112	0	6	374	140	3889.0413	153.25903
2	D09	1.0972257009438373	0	8	474	67	3910.374	146.03015
3	D09	1.083043976687487	0	17	389	107	3895.5193	152.51978
4	D09	1.1132996852148944	0	21	485	172	3833.5984	177.79944
5	D09	1.0759745146239903	0	13	481	124	3942.0857	144.42114
6	D09	1.095108194043468	0	24	489	133	4125.502	153.95215
7	D09	1.101886985575271	0	16	469	87	3958.223	145.24878
8	D09	1.0772152571648683	0	16	431	103	3993.354	158.8789
