annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	E06	1.0686070938713994	0	14	513	134	3969.023	158.98535
1	E06	1.0815363713599344	0	17	396	123	3938.4004	148.19653
2	E06	1.076330853812827	0	16	429	117	3946.5244	154.94421
3	E06	1.072461159663395	0	13	335	87	3895.469	146.70349
4	E06	1.0725997007954202	0	21	440	98	3804.6992	146.3866
5	E06	1.05813457822762	0	22	446	109	3886.0835	139.72705
6	E06	1.061514839211937	0	24	401	137	4031.0552	156.56714
7	E06	1.0592133088458178	0	12	462	119	3855.3687	141.78271
8	E06	1.0725039603590876	0	20	598	176	3947.3752	143.83594
