annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	C10	1.0691922404522405	0	30	418	162	3958.8662	146.10474
1	C10	1.0642515412507938	0	16	388	125	3888.0925	149.80298
2	C10	1.0706500228913896	0	14	383	139	3920.4084	136.32397
3	C10	1.078474479172358	0	18	438	168	3898.3164	150.27966
4	C10	1.079367469268825	0	27	555	142	3712.45	141.06128
5	C10	1.077258865118878	0	15	351	122	3908.7705	149.16943
6	C10	1.078388911958096	0	20	599	171	3910.4973	163.89185
7	C10	1.068452578835864	0	12	406	115	3845.037	149.552
8	C10	1.0665275874676747	0	11	415	143	3929.207	148.26978
