annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	B03	1.6878242079963734	0	5	312	93	4046.6228	149.15088
1	B03		1	12	368	69	4007.2646	168.0603
2	B03	1.5672228254457072	0	11	414	75	3990.4456	149.29688
3	B03	1.6366759252137133	0	11	344	206	3945.4404	136.05847
4	B03	1.66499118998541	0	14	387	156	3833.3843	141.8689
5	B03	1.677706191973258	0	9	510	180	3954.5835	193.11084
6	B03	1.711049840379223	0	4	285	99	4001.3127	148.79443
7	B03	1.56308191418094	0	22	588	133	3967.8555	195.2544
8	B03	1.5490359195948256	0	14	498	133	4043.893	191.40417
