annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	E10	1.0439558812034344	0	13	371	107	3995.621	159.68018
1	E10	1.0626129011572538	0	12	421	70	3869.872	146.07214
2	E10	1.082604958532878	0	15	454	101	3897.1885	136.28613
3	E10	1.073649292560538	0	8	451	141	3852.9888	141.87842
4	E10	1.063286689673158	0	36	504	203	3785.5483	169.87622
5	E10	1.0370104296786156	0	12	423	90	3873.7432	147.58423
6	E10	1.064165590890508	0	19	512	143	3954.3987	143.38733
7	E10	1.0494560025158184	0	24	542	134	3880.3171	168.05615
8	E10	1.0427251652673772	0	13	510	125	3931.5835	166.91992
