annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	A07	1.0479803772961456	0	12	348	95	3927.7695	143.44128
1	A07	1.0537503568621431	0	9	346	111	3819.7979	139.77783
2	A07	1.0430718624387605	0	10	417	105	3874.6804	178.82617
3	A07	1.0772290962622202	0	15	445	122	3761.0356	123.68872
4	A07	1.069809454105163	0	26	498	229	3684.5217	141.80664
5	A07	1.04202930641839	0	12	405	117	3773.436	133.73975
6	A07	1.0595864711014114	0	13	498	125	3870.5332	136.37195
7	A07	1.0453304666647223	0	9	405	98	3815.637	173.1211
8	A07	1.0440802585032014	0	17	348	106	3808.5684	133.20825
