grid_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	F04	1.3302292812572885	0	15	317	145	4067.587	158.26892
1	F04	1.3186780765912192	0	6	381	103	3993.929	168.36975
2	F04	1.391164976934472	0	7	334	111	4048.7764	150.35168
3	F04	1.3357457659102252	0	10	325	63	3937.3633	146.1416
4	F04	1.3632301319824713	0	8	335	115	3904.2993	161.23889
5	F04	1.3053591335447845	0	7	334	85	3883.4558	157.23462
6	F04	1.3692621316978095	0	18	474	228	4112.359	200.75342
7	F04	1.2988875849522379	0	13	521	132	3999.279	166.60437
8	F04	1.2594230890515836	0	10	450	123	3990.5044	135.8042
