grid_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	B04	1.719293958432921	0	8	393	165	4133.1904	178.1853
1	B04	1.8562367081641038	0	13	328	194	4066.5347	189.55078
2	B04	1.7687085884318394	0	8	408	113	4124.8086	192.927
3	B04	1.770286122129342	0	19	391	87	4081.3188	182.28955
4	B04	1.705087551384491	0	8	342	145	3897.6936	149.5896
5	B04	1.628077280645198	0	18	532	159	4107.565	191.01831
6	B04	1.6768283969362099	0	16	491	112	4238.0903	159.80432
7	B04	1.664948579668714	0	9	365	89	4084.2598	149.59021
8	B04	1.7045334610526925	0	9	463	169	4032.2334	189.46777
