grid_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
0	A01	nan	1	nan	nan	nan	4033.7056	162.06592
1	A02	1.0490835198014519	0	85.0	3448.0	1068.0	3764.3457	144.84985
2	A03	1.5888386478982375	0	68.0	3608.0	1300.0	3925.8657	146.98267
3	A04	1.8062968151951486	0	107.0	3770.0	1185.0	3941.1394	164.29175
4	A05	1.0448227901391594	0	133.0	3420.0	1268.0	3969.4453	152.48096
5	A06	1.1028585093607561	0	126.0	3749.0	1599.0	3924.5562	159.9502
6	A07	1.0585941338841478	0	123.0	3710.0	1108.0	3868.4248	166.25769
7	A08	1.0564879902837099	0	126.0	3747.0	1138.0	3786.1616	143.797
8	A09	1.0803569549568963	0	109.0	3492.0	1166.0	3720.8801	143.25366
9	A10	1.0457796545563913	0	95.0	3272.0	901.0	3875.4282	150.61035
10	A11	1.0907612138557512	0	172.0	4396.0	1344.0	3875.0737	148.29858
11	A12	1.0789228747694797	0	125.0	4339.0	1438.0	3971.1348	177.50488
12	B01	nan	1	nan	nan	nan	3913.898	155.30005
13	B02	1.7373969691318536	0	108.0	3944.0	1247.0	3912.983	154.62476
14	B03	1.630749206468292	0	90.0	3338.0	1075.0	3805.1245	154.13025
15	B04	1.7126959522737648	0	108.0	3713.0	1233.0	3952.1548	152.93176
16	B05	1.07590321816954	0	106.0	2907.0	858.0	3901.3564	152.99976
17	B06	1.1011991818030142	0	132.0	3464.0	1109.0	nan	nan
18	B07	1.1240714010380999	0	102.0	3707.0	1286.0	3903.2522	169.62305
19	B08	1.0759453467760993	0	166.0	3886.0	1326.0	3876.7588	153.10327
20	B09	1.0457174565806553	0	136.0	3673.0	1143.0	3821.6929	150.37854
21	B10	1.0751550771210843	0	127.0	3622.0	1175.0	3751.7263	147.92676
22	B11	1.066553125519616	0	133.0	3698.0	1166.0	3865.54	151.47485
23	B12	1.0567611199165972	0	138.0	4158.0	1198.0	3789.1377	154.81372
24	C01	nan	1	nan	nan	nan	3959.4148	171.53735
25	C02	1.7005507181756976	0	106.0	3753.0	1009.0	3807.669	176.677
26	C03	1.6260458047385788	0	112.0	3604.0	1394.0	4075.3835	183.87231
27	C04	1.070173802925921	0	110.0	3486.0	861.0	3942.771	154.47217
28	C05	1.024172928350992	0	130.0	3564.0	832.0	3953.265	161.4231
29	C06	1.0740105600883072	0	113.0	3511.0	1068.0	3836.8857	147.32715
30	C07	1.0115718500505897	0	158.0	3446.0	928.0	3861.0981	149.61597
31	C08	1.0290065396474768	0	111.0	3583.0	952.0	3785.267	155.21973
32	C09	1.0431499313586474	0	115.0	3350.0	904.0	3711.8242	136.9591
33	C10	1.0710135515013592	0	163.0	3953.0	1287.0	3844.928	153.85022
34	C11	1.044154951573357	0	146.0	4252.0	1207.0	3992.998	164.11389
35	C12	1.0610984419176104	0	180.0	4524.0	1287.0	3783.224	145.23132
36	D01	nan	1	nan	nan	nan	3915.8677	154.99829
37	D02	1.0395552998174578	0	114.0	3875.0	1133.0	4036.049	161.35669
38	D03	1.021941964545106	0	112.0	3908.0	918.0	3980.1677	197.44604
39	D04	1.0449495460330807	0	150.0	3826.0	1052.0	4011.4438	153.1388
40	D05	1.0451875880174588	0	157.0	3456.0	1034.0	3843.9675	147.59937
41	D06	1.0137361132740803	0	135.0	3606.0	792.0	3908.0642	145.59961
42	D07	1.0867150623840303	0	136.0	3707.0	945.0	nan	nan
43	D08	1.0673355080787097	0	128.0	3416.0	998.0	3838.6848	146.43188
44	D09	1.0921680984380222	0	129.0	3927.0	1067.0	3835.2368	142.35205
45	D10	1.0541412453507921	0	114.0	3542.0	1022.0	4026.023	160.27051
46	D11	1.0573404283433259	0	125.0	3554.0	1001.0	3951.8733	161.01062
47	D12	1.0579674194136492	0	134.0	4074.0	1160.0	3979.0474	162.24158
48	E01	nan	1	nan	nan	nan	3761.7905	153.18872
49	E02	1.1922867550512553	0	137.0	3810.0	1117.0	3923.124	148.83276
50	E03	1.0519335284165865	0	102.0	3173.0	904.0	nan	nan
51	E04	1.1057431800941167	0	112.0	3863.0	1174.0	3901.9563	158.83179
52	E05	1.3076940683697758	0	150.0	3627.0	1164.0	3884.9724	164.5166
53	E06	1.0681093676846432	0	159.0	4020.0	1100.0	3887.292	157.39404
54	E07	1.09081778428251	0	144.0	3505.0	999.0	3829.8428	147.46826
55	E08	1.0912683325734298	0	103.0	3485.0	1005.0	3849.6096	152.31396
56	E09	1.059756076828432	0	88.0	3404.0	919.0	3832.4238	151.78198
57	E10	1.0588732873063034	0	152.0	4188.0	1114.0	4036.7231	162.83252
58	E11	1.0776262129325196	0	119.0	3531.0	1033.0	3844.4497	144.85107
59	E12	1.0595985561591588	0	129.0	3987.0	1336.0	3873.5728	155.65137
60	F01	nan	1	nan	nan	nan	nan	nan
61	F02	1.1038909045055685	0	102.0	3735.0	994.0	nan	nan
62	F03	1.3262485102958783	0	104.0	3539.0	1039.0	4055.049	152.57019
63	F04	1.319332280445356	0	94.0	3471.0	1105.0	3975.088	166.04883
64	F05	1.044526445854421	0	114.0	3228.0	886.0	nan	nan
65	F06	1.0172654151174634	0	150.0	3680.0	1045.0	3869.872	153.43799
66	F07	1.042074918182197	0	123.0	3451.0	832.0	3817.9495	138.7688
67	F08	1.057864614479341	0	139.0	3555.0	1051.0	3966.5122	178.15039
68	F09	1.0395359738083025	0	110.0	3011.0	803.0	3913.7847	157.82422
69	F10	1.0783297942648395	0	135.0	4100.0	1229.0	3971.9897	154.23889
70	F11	1.089134596648834	0	164.0	4456.0	1172.0	4046.3918	181.4148
71	F12	1.0478144115991714	0	128.0	4055.0	1271.0	3905.4233	155.26172
72	G01	nan	1	nan	nan	nan	4568.6445	245.7439
73	G02	1.4314053648684533	0	87.0	3291.0	1070.0	3820.3154	158.18018
74	G03	1.5571273376651202	0	85.0	3376.0	838.0	3897.5005	152.1178
75	G04	1.3401610574594036	0	90.0	3338.0	966.0	3809.8435	162.76611
76	G05	1.0563244807694359	0	204.0	3998.0	1170.0	3923.7236	156.3584
77	G06	1.071387056125267	0	122.0	4029.0	1204.0	3902.551	154.79333
78	G07	1.0632144692217427	0	139.0	3886.0	1033.0	nan	nan
79	G08	1.0422825036858754	0	122.0	3129.0	983.0	3941.1323	162.26892
80	G09	1.0338824949594037	0	94.0	3434.0	997.0	3935.5503	152.08179
81	G10	1.043359191660379	0	140.0	3530.0	1294.0	3903.6582	151.73877
82	G11	1.0886185624617026	0	125.0	4193.0	1397.0	3867.4736	159.61987
83	G12	1.0708824879324825	0	107.0	3780.0	1124.0	3845.1025	152.60828
84	H01	nan	1	nan	nan	nan	3781.4285	156.68701
85	H02	1.6661894667865957	0	109.0	3767.0	1256.0	3884.1965	156.74048
86	H03	1.04720263945292	0	90.0	3497.0	918.0	3958.0635	148.94055
87	H04	1.2761966175028385	0	71.0	3059.0	1015.0	3980.9019	158.00488
88	H05	1.1057623361195676	0	120.0	3791.0	1385.0	nan	nan
89	H06	1.0457910352099573	0	181.0	4069.0	1363.0	4040.355	172.88232
90	H07	1.0216473784962763	0	165.0	4436.0	1220.0	3909.2388	174.48755
91	H08	1.0410954708023876	0	168.0	4515.0	1297.0	3874.2222	161.01172
92	H09	1.0530597442142478	0	126.0	4419.0	1326.0	3875.5464	151.16016
93	H10	1.0622736820501977	0	153.0	4323.0	1299.0	3858.0513	146.76685
94	H11	1.1036366379323834	0	114.0	4041.0	1314.0	3979.3032	167.03174
95	H12	1.053730478403015	0	158.0	4823.0	1508.0	3831.7407	154.17676
